+--------------+--------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   Problem ID | LLM    | Prompt Type      | Gen 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Gen 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Gen 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|              |        |                  |     around the mean of this dataset.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |     Mean Absolute Deviation is the average absolute difference between each                                                                                                                                                                                                                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     Mean Absolute Deviation is the average absolute difference between each                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |     element and a centerpoint (mean in this case):                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     element and a centerpoint (mean in this case):                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |     MAD = average | x - x_mean |                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     MAD = average | x - x_mean |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |     >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |     1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |     """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     # Calculate the mean of the dataset                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     numbers = np.array(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     mean = sum(numbers) / len(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     mean = np.mean(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |     # Initialize a variable to store the sum of absolute deviations                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     deviation = np.abs(numbers - mean)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |     total_absolute_deviation = 0.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |     return np.mean(deviation)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |     # Iterate over each number in the dataset                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     for num in numbers:                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |         # Calculate the absolute deviation from the mean for this number                                                                                                                                                                                                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |         absolute_deviation = abs(num - mean)                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |         # Add this deviation to the total                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |         total_absolute_deviation += absolute_deviation                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     # Calculate the mean of the absolute deviations                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     mean_absolute_deviation = total_absolute_deviation / len(numbers)                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |     return mean_absolute_deviation                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | from typing import List                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|              |        |                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
